,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
2942,Gabriel Silva,Left-Back,20,Palmeiras,Série A,Granada CF,Spain,2011-2012,2500000.0,4000000
2943,Santiago García,Centre-Forward,20,Nacional,Primera División,Atlético-PR,Brazil,2011-2012,2000000.0,4000000
2944,Alan Patrick,Central Midfield,20,Santos FC,Série A,Shakhtar D.,Russia,2011-2012,1500000.0,4000000
2945,Marco Rossi,Centre-Back,23,Parma,Serie A,RC Cesena,Italy,2011-2012,1300000.0,4000000
2946,Salvatore Sirigu,Goalkeeper,24,US Palermo,Serie A,Paris SG,France,2011-2012,10000000.0,3900000
2947,Danny Graham,Centre-Forward,25,Watford,Championship,Swansea,England,2011-2012,1500000.0,3900000
2948,Ryan Bennett,Centre-Back,21,Peterborough,Championship,Norwich,England,2011-2012,250000.0,3850000
2949,Umut Bulut,Centre-Forward,28,Trabzonspor,Süper Lig,Toulouse,France,2011-2012,6000000.0,3800000
2950,Christian Fuchs,Left-Back,25,1.FSV Mainz 05,1.Bundesliga,FC Schalke 04,Germany,2011-2012,5000000.0,3800000
2951,Juan Jesus,Centre-Back,20,Internacional,Série A,Inter,Italy,2011-2012,3000000.0,3800000
2952,Fábio Rochemback,Central Midfield,30,Grêmio,Série A,DL Yifang,China,2011-2012,2000000.0,3790000
2953,Robbie Keane,Centre-Forward,31,Spurs,Premier League,Los Angeles,USA,2011-2012,7000000.0,3750000
2954,Shay Given,Goalkeeper,35,Man City,Premier League,Aston Villa,England,2011-2012,5500000.0,3750000
2955,Jeffren,Right Winger,23,FC Barcelona,LaLiga,Sporting CP,Portugal,2011-2012,5000000.0,3750000
2956,Jamie O'Hara,Central Midfield,24,Spurs,Premier League,Wolves,England,2011-2012,4500000.0,3750000
2957,Marco Motta,Right-Back,25,Udinese Calcio,Serie A,Juventus,Italy,2011-2012,3500000.0,3750000
2958,Paulo Henrique,Centre-Forward,22,Desp. Brasil, Brazil,Trabzonspor,Turkey,2011-2012,3000000.0,3750000
2959,Volkan Sen,Right Winger,24,Bursaspor,Süper Lig,Trabzonspor,Turkey,2011-2012,4700000.0,3600000
2960,Marvin Sordell,Centre-Forward,20,Watford,Championship,Bolton,England,2011-2012,1000000.0,3600000
2961,Kléber,Centre-Forward,21,Atlético-MG,Série A,FC Porto,Portugal,2011-2012,1300000.0,3560000
2962,José Antonio Reyes,Right Winger,28,Atlético Madrid,LaLiga,Sevilla FC,Spain,2011-2012,15000000.0,3500000
2963,Diego Capel,Left Winger,23,Sevilla FC,LaLiga,Sporting CP,Portugal,2011-2012,8000000.0,3500000
2964,Maxwell,Left-Back,30,FC Barcelona,LaLiga,Paris SG,France,2011-2012,7000000.0,3500000
2965,Barreto,Second Striker,25,Bari,Serie B,Udinese Calcio,Italy,2011-2012,7000000.0,3500000
2966,Emmanuel Eboué,Right-Back,28,Arsenal,Premier League,Galatasaray,Turkey,2011-2012,6000000.0,3500000
2967,Nicolas N'Koulou,Centre-Back,21,Monaco,Ligue 2,Marseille,France,2011-2012,5000000.0,3500000
2968,Jonathan Pitroipa,Right Winger,25,Hamburger SV,1.Bundesliga,Stade Rennais,France,2011-2012,4500000.0,3500000
2969,Thiago Silva,Centre-Back,27,AC Milan,Serie A,Paris SG,France,2012-2013,38000000.0,42000000
2970,Hulk,Right Winger,26,FC Porto,Liga NOS,Zenit S-Pb,Russia,2012-2013,37000000.0,40000000
2971,Lucas Moura,Right Winger,20,São Paulo,Série A,Paris SG,France,2012-2013,35000000.0,40000000
2972,Javi Martínez,Defensive Midfield,24,Athletic Bilbao,LaLiga,Bayern Munich ,Germany,2012-2013,30000000.0,40000000
2973,Axel Witsel,Central Midfield,23,Benfica,Liga NOS,Zenit S-Pb,Russia,2012-2013,20000000.0,40000000
2974,Eden Hazard,Left Winger,21,LOSC Lille,Ligue 1,Chelsea,England,2012-2013,33000000.0,35000000
2975,Willian,Right Winger,24,Shakhtar D.,Premier Liga,Anzhi,Russia,2012-2013,25000000.0,35000000
2976,Oscar,Attacking Midfield,20,Internacional,Série A,Chelsea,England,2012-2013,20000000.0,32000000
2977,Robin van Persie,Centre-Forward,29,Arsenal,Premier League,Man Utd,England,2012-2013,47500000.0,30700000
2978,Luka Modric,Central Midfield,26,Spurs,Premier League,Real Madrid,Spain,2012-2013,40000000.0,30000000
2979,Ezequiel Lavezzi,Second Striker,27,SSC Napoli,Serie A,Paris SG,France,2012-2013,30000000.0,28950000
2980,Zlatan Ibrahimovic,Centre-Forward,30,AC Milan,Serie A,Paris SG,France,2012-2013,37000000.0,21000000
2981,Javi García,Defensive Midfield,25,Benfica,Liga NOS,Man City,England,2012-2013,15000000.0,20200000
2982,Mario Balotelli,Centre-Forward,22,Man City,Premier League,AC Milan,Italy,2012-2013,24000000.0,20000000
2983,Alex Song,Defensive Midfield,24,Arsenal,Premier League,FC Barcelona,Spain,2012-2013,25000000.0,19000000
2984,Santi Cazorla,Central Midfield,27,Málaga CF,LaLiga,Arsenal,England,2012-2013,20000000.0,19000000
2985,Mousa Dembélé,Central Midfield,25,Fulham,Premier League,Spurs,England,2012-2013,13000000.0,19000000
2986,Joe Allen,Central Midfield,22,Swansea,Premier League,Liverpool,England,2012-2013,4000000.0,19000000
2987,Kwadwo Asamoah,Left-Back,23,Udinese Calcio,Serie A,Juventus,Italy,2012-2013,15000000.0,18000000
2988,Lacina Traoré,Centre-Forward,22,Kuban Krasnodar,Premier Liga,Anzhi,Russia,2012-2013,7000000.0,18000000
2989,Marco Reus,Left Winger,23,Bor. M'gladbach,1.Bundesliga,Bor. Dortmund,Germany,2012-2013,20000000.0,17100000
2990,Shinji Kagawa,Attacking Midfield,23,Bor. Dortmund,1.Bundesliga,Man Utd,England,2012-2013,22000000.0,16000000
2991,Taison,Left Winger,25,Metalist,Premier Liga,Shakhtar D.,Russia,2012-2013,12000000.0,15240000
2992,Gastón Ramírez,Attacking Midfield,21,Bologna,Serie A,Southampton,England,2012-2013,13500000.0,15200000
2993,Steven Fletcher,Centre-Forward,25,Wolves,Championship,Sunderland,England,2012-2013,6000000.0,15200000
2994,Matija Nastasic,Centre-Back,19,Fiorentina,Serie A,Man City,England,2012-2013,5500000.0,15200000
2995,Alexandre Pato,Centre-Forward,23,AC Milan,Serie A,Corinthians,Brazil,2012-2013,28500000.0,15000000
2996,Lukas Podolski,Centre-Forward,27,1. FC Köln,2.Bundesliga,Arsenal,England,2012-2013,20000000.0,15000000
2997,Daniel Sturridge,Centre-Forward,23,Chelsea,Premier League,Liverpool,England,2012-2013,16000000.0,15000000
2998,Christopher Samba,Centre-Back,28,Anzhi,Premier Liga,QPR,England,2012-2013,15000000.0,15000000
2999,Jack Rodwell,Defensive Midfield,21,Everton,Premier League,Man City,England,2012-2013,15000000.0,15000000
3000,Samir Handanovic,Goalkeeper,28,Udinese Calcio,Serie A,Inter,Italy,2012-2013,15000000.0,15000000
3001,Jordi Alba,Left-Back,23,Valencia CF,LaLiga,FC Barcelona,Spain,2012-2013,10000000.0,14000000
3002,Carlos Vela,Right Winger,23,Arsenal,Premier League,Real Sociedad,Spain,2012-2013,8000000.0,14000000
3003,Mauricio Isla,Right-Back,24,Udinese Calcio,Serie A,Juventus,Italy,2012-2013,14000000.0,13900000
3004,Fabio Borini,Left Winger,21,AS Roma,Serie A,Liverpool,England,2012-2013,9000000.0,13300000
3005,Rafael van der Vaart,Attacking Midfield,29,Spurs,Premier League,Hamburger SV,Germany,2012-2013,24500000.0,13000000
3006,Mario Mandzukic,Left Winger,26,VfL Wolfsburg,1.Bundesliga,Bayern Munich ,Germany,2012-2013,14000000.0,13000000
3007,Lucas Ocampos,Left Winger,18,River Plate,Torneo Final,Monaco,France,2012-2013,9000000.0,13000000
3008,Philippe Coutinho,Attacking Midfield,20,Inter,Serie A,Liverpool,England,2012-2013,9000000.0,13000000
3009,Hugo Lloris,Goalkeeper,25,Olympique Lyon,Ligue 1,Spurs,England,2012-2013,19000000.0,12600000
3010,Adam Johnson,Right Winger,25,Man City,Premier League,Sunderland,England,2012-2013,10500000.0,12600000
3011,Jan Vertonghen,Centre-Back,25,AFC Ajax,Eredivisie,Spurs,England,2012-2013,15000000.0,12500000
3012,Giampaolo Pazzini,Centre-Forward,28,Inter,Serie A,AC Milan,Italy,2012-2013,14500000.0,12500000
3013,Yann M'Vila,Defensive Midfield,22,Stade Rennais,Ligue 1,Rubin Kazan,Russia,2012-2013,15000000.0,12000000
3014,Olivier Giroud,Centre-Forward,25,Montpellier,Ligue 1,Arsenal,England,2012-2013,13000000.0,12000000
3015,Luuk de Jong,Centre-Forward,21,FC Twente,Eredivisie,Bor. M'gladbach,Germany,2012-2013,12000000.0,12000000
3016,Marco Verratti,Central Midfield,19,Pescara,Serie A,Paris SG,France,2012-2013,10000000.0,12000000
3017,Ola John,Left Winger,20,FC Twente,Eredivisie,Benfica,Portugal,2012-2013,2500000.0,12000000
3018,Paulo Dybala,Second Striker,18,Instituto,Primera B Nacional,US Palermo,Italy,2012-2013,2000000.0,11900000
3019,Xherdan Shaqiri,Right Winger,20,FC Basel,Super League,Bayern Munich ,Germany,2012-2013,12500000.0,11800000
3020,Wilfried Zaha,Right Winger,20,Crystal Palace,Championship,Man Utd,England,2012-2013,3500000.0,11750000
3021,Victor Moses,Right Midfield,21,Wigan,Premier League,Chelsea,England,2012-2013,6500000.0,11500000
3022,Sebastian Giovinco,Second Striker,25,Parma,Serie A,Juventus,Italy,2012-2013,12500000.0,11000000
3023,Fredy Guarín,Central Midfield,26,FC Porto,Liga NOS,Inter,Italy,2012-2013,12000000.0,11000000
3024,Eduardo Salvio,Right Winger,22,Atlético Madrid,LaLiga,Benfica,Portugal,2012-2013,10000000.0,11000000
3025,Manolo Gabbiadini,Centre-Forward,20,Atalanta,Serie A,Juventus,Italy,2012-2013,4500000.0,11000000
3026,Mateo Kovacic,Central Midfield,18,Dinamo Zagreb,1.HNL,Inter,Italy,2012-2013,3000000.0,11000000
3027,Loïc Rémy,Centre-Forward,26,Marseille,Ligue 1,QPR,England,2012-2013,15000000.0,10500000
3028,Rodrigo Palacio,Centre-Forward,30,Genoa,Serie A,Inter,Italy,2012-2013,12000000.0,10500000
3029,Mário Fernandes,Right-Back,21,Grêmio,Série A,CSKA Moscow,Russia,2012-2013,9000000.0,10500000
3030,Jordan Rhodes,Centre-Forward,22,Huddersfield,Championship,Blackburn,England,2012-2013,3500000.0,10100000
3031,Álvaro Pereira,Left-Back,26,FC Porto,Liga NOS,Inter,Italy,2012-2013,16000000.0,10000000
3032,Raúl Meireles,Central Midfield,29,Chelsea,Premier League,Fenerbahce,Turkey,2012-2013,15000000.0,10000000
3033,Nilmar,Centre-Forward,28,Villarreal CF,LaLiga2,Al Rayyan,Qatar,2012-2013,15000000.0,10000000
3034,Giuseppe Rossi,Centre-Forward,25,Villarreal CF,LaLiga2,Fiorentina,Italy,2012-2013,10000000.0,10000000
3035,Marvin Martin,Attacking Midfield,24,FC Sochaux,Ligue 1,LOSC Lille,France,2012-2013,9500000.0,10000000
3036,Gylfi Sigurdsson,Attacking Midfield,22,TSG Hoffenheim,1.Bundesliga,Spurs,England,2012-2013,8500000.0,10000000
3037,Nacho Monreal,Left-Back,26,Málaga CF,LaLiga,Arsenal,England,2012-2013,6000000.0,10000000
3038,Matt Jarvis,Left Winger,26,Wolves,Championship,West Ham,England,2012-2013,8000000.0,9500000
3039,Ganso,Attacking Midfield,22,Santos FC,Série A,São Paulo,Brazil,2012-2013,18000000.0,9100000
3040,Raffael,Second Striker,27,Hertha BSC,2.Bundesliga,Dynamo Kyiv,Russia,2012-2013,9000000.0,9000000
3041,José Salomón Rondón,Centre-Forward,22,Málaga CF,LaLiga,Rubin Kazan,Russia,2012-2013,9000000.0,9000000
3042,Jackson Martínez,Centre-Forward,25,Chiapas FC,Liga MX Clausura,FC Porto,Portugal,2012-2013,5000000.0,8890000
3043,César Azpilicueta,Right-Back,23,Marseille,Ligue 1,Chelsea,England,2012-2013,7500000.0,8800000
3044,Christian Benteke,Centre-Forward,21,KRC Genk,Jupiler Pro League,Aston Villa,England,2012-2013,3000000.0,8800000
3045,Jay Rodríguez,Centre-Forward,22,Burnley,Championship,Southampton,England,2012-2013,5000000.0,8650000
3046,Nordin Amrabat,Left Winger,25,Kayserispor,Süper Lig,Galatasaray,Turkey,2012-2013,6000000.0,8600000
3047,Demba Ba,Centre-Forward,27,Newcastle,Premier League,Chelsea,England,2012-2013,15000000.0,8500000
3048,Lucas Barrios,Centre-Forward,27,Bor. Dortmund,1.Bundesliga,GZ Evergrande,China,2012-2013,10000000.0,8500000
3049,Granit Xhaka,Defensive Midfield,19,FC Basel,Super League,Bor. M'gladbach,Germany,2012-2013,8500000.0,8500000
3050,Vurnon Anita,Defensive Midfield,23,AFC Ajax,Eredivisie,Newcastle,England,2012-2013,6000000.0,8500000
3051,Diego Souza,Attacking Midfield,27,Vasco da Gama,Série A,Ittihad,Saudi Arabia,2012-2013,4500000.0,8200000
3052,Marko Marin,Left Winger,23,Werder Bremen,1.Bundesliga,Chelsea,England,2012-2013,13000000.0,8000000
3053,Martín Cáceres,Right-Back,25,Sevilla FC,LaLiga,Juventus,Italy,2012-2013,9500000.0,8000000
3054,Mapou Yanga-Mbiwa,Centre-Back,23,Montpellier,Ligue 1,Newcastle,England,2012-2013,9000000.0,8000000
3055,Álvaro Domínguez,Centre-Back,23,Atlético Madrid,LaLiga,Bor. M'gladbach,Germany,2012-2013,8000000.0,8000000
3056,Valon Behrami,Defensive Midfield,27,Fiorentina,Serie A,SSC Napoli,Italy,2012-2013,8000000.0,8000000
3057,Esteban Granero,Central Midfield,25,Real Madrid,LaLiga,QPR,England,2012-2013,7000000.0,8000000
3058,Ivan Perisic,Left Winger,23,Bor. Dortmund,1.Bundesliga,VfL Wolfsburg,Germany,2012-2013,7000000.0,8000000
3059,Aleksandr Samedov,Right Winger,27,Dinamo Moscow,Premier Liga,Loko Moscow,Russia,2012-2013,6500000.0,8000000
3060,Kévin Constant,Defensive Midfield,25,Genoa,Serie A,AC Milan,Italy,2012-2013,6000000.0,8000000
3061,Marco Ruben,Centre-Forward,25,Villarreal CF,LaLiga2,Dynamo Kyiv,Russia,2012-2013,6000000.0,8000000
3062,Davide Faraoni,Right Midfield,20,Inter,Serie A,Udinese Calcio,Italy,2012-2013,4000000.0,8000000
3063,Rômulo,Defensive Midfield,21,Vasco da Gama,Série A,Spartak Moscow,Russia,2012-2013,2500000.0,8000000
3064,Scott Sinclair,Left Midfield,23,Swansea,Premier League,Man City,England,2012-2013,8000000.0,7800000
3065,Kevin Mirallas,Right Winger,24,Olympiacos,Super League,Everton,England,2012-2013,8000000.0,7650000
3066,Wesley Sneijder,Attacking Midfield,28,Inter,Serie A,Galatasaray,Turkey,2012-2013,19000000.0,7500000
3067,Clint Dempsey,Second Striker,29,Fulham,Premier League,Spurs,England,2012-2013,15000000.0,7500000
3068,Asamoah Gyan,Centre-Forward,26,Sunderland,Premier League,Al-Ain FC,United Arab Emirates,2012-2013,12000000.0,7500000
3069,Goran Pandev,Second Striker,28,Inter,Serie A,SSC Napoli,Italy,2012-2013,11000000.0,7500000
3070,Miguel Veloso,Defensive Midfield,26,Genoa,Serie A,Dynamo Kyiv,Russia,2012-2013,8000000.0,7500000
3071,Sergio Canales,Attacking Midfield,21,Real Madrid,LaLiga,Valencia CF,Spain,2012-2013,5000000.0,7500000
3072,Yura Movsisyan,Centre-Forward,25,Krasnodar,Premier Liga,Spartak Moscow,Russia,2012-2013,3200000.0,7500000
3073,Nick Powell,Attacking Midfield,18,Crewe Alexandra,League One,Man Utd,England,2012-2013,250000.0,7500000
3074,Borja Valero,Central Midfield,27,Villarreal CF,LaLiga2,Fiorentina,Italy,2012-2013,12000000.0,7000000
3075,Milos Krasic,Central Midfield,27,Juventus,Serie A,Fenerbahce,Turkey,2012-2013,11000000.0,7000000
3076,Mattia Destro,Centre-Forward,21,Siena,Serie A,Genoa,Italy,2012-2013,10000000.0,7000000
3077,Pablo Hernández,Right Winger,27,Valencia CF,LaLiga,Swansea,England,2012-2013,9000000.0,7000000
3078,Bas Dost,Centre-Forward,23,Heerenveen,Eredivisie,VfL Wolfsburg,Germany,2012-2013,8000000.0,7000000
3079,Niko Kranjcar,Attacking Midfield,27,Spurs,Premier League,Dynamo Kyiv,Russia,2012-2013,7500000.0,7000000
3080,Philipp Wollscheid,Centre-Back,23,1.FC Nuremberg,1.Bundesliga,Bay. Leverkusen,Germany,2012-2013,7500000.0,7000000
3081,Vedran Corluka,Centre-Back,26,Spurs,Premier League,Loko Moscow,Russia,2012-2013,7500000.0,7000000
3082,Sung-yong Ki,Defensive Midfield,23,Celtic,Premiership,Swansea,England,2012-2013,3500000.0,7000000
3083,Alessio Cerci,Right Winger,25,Fiorentina,Serie A,Torino,Italy,2012-2013,6500000.0,6750000
3084,Renato Augusto,Central Midfield,24,Bay. Leverkusen,1.Bundesliga,Corinthians,Brazil,2012-2013,7000000.0,6700000
3085,Luís Neto,Centre-Back,24,Siena,Serie A,Zenit S-Pb,Russia,2012-2013,6000000.0,6500000
3086,Alberto Paloschi,Centre-Forward,23,AC Milan,Serie A,Chievo Verona,Italy,2012-2013,5000000.0,6500000
3087,Emmanuel Adebayor,Centre-Forward,28,Man City,Premier League,Spurs,England,2012-2013,25000000.0,6400000
3088,Mathieu Debuchy,Right-Back,27,LOSC Lille,Ligue 1,Newcastle,England,2012-2013,15000000.0,6200000
3089,Charlie Adam,Central Midfield,26,Liverpool,Premier League,Stoke City,England,2012-2013,8000000.0,6200000
3090,Gregory van der Wiel,Right-Back,24,AFC Ajax,Eredivisie,Paris SG,France,2012-2013,9000000.0,6000000
3091,Stéphane Mbia,Defensive Midfield,26,Marseille,Ligue 1,QPR,England,2012-2013,9000000.0,6000000
3092,Rasmus Elm,Defensive Midfield,24,AZ Alkmaar,Eredivisie,CSKA Moscow,Russia,2012-2013,8000000.0,6000000
3093,Aly Cissokho,Left-Back,24,Olympique Lyon,Ligue 1,Valencia CF,Spain,2012-2013,7000000.0,6000000
3094,Vágner Love,Centre-Forward,28,Flamengo,Série A,CSKA Moscow,Russia,2012-2013,6500000.0,6000000
3095,Iván Ramis,Centre-Back,27,RCD Mallorca,LaLiga,Wigan,England,2012-2013,6000000.0,6000000
3096,Wálter Montillo,Attacking Midfield,28,Cruzeiro,Série A,Santos FC,Brazil,2012-2013,5000000.0,6000000
3097,Modibo Maïga,Centre-Forward,24,FC Sochaux,Ligue 1,West Ham,England,2012-2013,5000000.0,6000000
3098,Luc Castaignos,Centre-Forward,19,Inter,Serie A,FC Twente,Netherlands,2012-2013,4500000.0,6000000
3099,Alex,Attacking Midfield,30,Corinthians,Série A,Al Gharafa,Qatar,2012-2013,3500000.0,6000000
3100,Joselu,Centre-Forward,22,RM Castilla,LaLiga2,TSG Hoffenheim,Germany,2012-2013,,6000000
3101,Danny Graham,Centre-Forward,27,Swansea,Premier League,Sunderland,England,2012-2013,4000000.0,5800000
3102,André,Centre-Forward,21,Dynamo Kyiv,Premier Liga,Atlético-MG,Brazil,2012-2013,2500000.0,5800000
3103,Steven Pienaar,Left Winger,30,Spurs,Premier League,Everton,England,2012-2013,7000000.0,5750000
3104,Elkeson,Centre-Forward,23,Botafogo,Série A,GZ Evergrande,China,2012-2013,3000000.0,5700000
3105,Marquinhos,Centre-Back,18,Corinthians,Série A,AS Roma,Italy,2012-2013,750000.0,5700000
3106,Julian Schieber,Centre-Forward,23,VfB Stuttgart,1.Bundesliga,Bor. Dortmund,Germany,2012-2013,8000000.0,5500000
3107,Eren Derdiyok,Centre-Forward,24,Bay. Leverkusen,1.Bundesliga,TSG Hoffenheim,Germany,2012-2013,7500000.0,5500000
3108,Dusan Tadic,Attacking Midfield,23,FC Groningen,Eredivisie,FC Twente,Netherlands,2012-2013,7500000.0,5500000
3109,Eljero Elia,Left Winger,25,Juventus,Serie A,Werder Bremen,Germany,2012-2013,5000000.0,5500000
3110,Ángelo Henríquez,Centre-Forward,18,U. de Chile,Primera División,Man Utd,England,2012-2013,150000.0,5500000
3111,Ewerton,Centre-Back,23,Coimbra-MG, Brazil,Anzhi,Russia,2012-2013,5500000.0,5400000
3112,Wallace Oliveira,Right-Back,18,Fluminense,Série A,Chelsea,England,2012-2013,2000000.0,5400000
3113,Ezequiel Schelotto,Right-Back,23,Atalanta,Serie A,Inter,Italy,2012-2013,6500000.0,5300000
3114,Maicosuel,Left Winger,26,Botafogo,Série A,Udinese Calcio,Italy,2012-2013,2500000.0,5300000
3115,Diego Tardelli,Centre-Forward,27,Al Gharafa,Stars League,Atlético-MG,Brazil,2012-2013,2000000.0,5250000
3116,Marko Livaja,Centre-Forward,19,Inter,Serie A,Atalanta,Italy,2012-2013,1800000.0,5050000
3117,Burak Yilmaz,Centre-Forward,27,Trabzonspor,Süper Lig,Galatasaray,Turkey,2012-2013,12000000.0,5000000
3118,Dimitar Berbatov,Centre-Forward,31,Man Utd,Premier League,Fulham,England,2012-2013,11500000.0,5000000
3119,Antonio Cassano,Second Striker,30,AC Milan,Serie A,Inter,Italy,2012-2013,10000000.0,5000000
3120,Bruno César,Left Midfield,24,Benfica,Liga NOS,Ahli,Saudi Arabia,2012-2013,9000000.0,5000000
3121,Lassana Diarra,Defensive Midfield,27,Real Madrid,LaLiga,Anzhi,Russia,2012-2013,8000000.0,5000000
3122,Dedé,Centre-Back,24,Vasco da Gama,Série A,Cruzeiro,Brazil,2012-2013,7500000.0,5000000
3123,Paulinho,Central Midfield,24,Coimbra-MG, Brazil,Corinthians,Brazil,2012-2013,7500000.0,5000000
3124,Marko Devic,Centre-Forward,28,Metalist,Premier Liga,Shakhtar D.,Russia,2012-2013,7000000.0,5000000
3125,Youssef El Arabi,Centre-Forward,25,Hilal,Professional League,Granada CF,Spain,2012-2013,6500000.0,5000000
3126,Germán Denis,Centre-Forward,30,Udinese Calcio,Serie A,Atalanta,Italy,2012-2013,5500000.0,5000000
3127,Alain Traoré,Attacking Midfield,23,AJ Auxerre,Ligue 2,FC Lorient,France,2012-2013,5000000.0,5000000
3128,Ben Foster,Goalkeeper,29,Birmingham,Championship,West Brom,England,2012-2013,5000000.0,5000000
3129,Daniel Congré,Centre-Back,27,Toulouse,Ligue 1,Montpellier,France,2012-2013,4500000.0,5000000
3130,Dame N'Doye,Centre-Forward,27,FC Copenhagen,Superligaen,Loko Moscow,Russia,2012-2013,4500000.0,5000000
3131,Domagoj Vida,Centre-Back,23,Dinamo Zagreb,1.HNL,Dynamo Kyiv,Russia,2012-2013,4000000.0,5000000
3132,Iván Marcano,Centre-Back,25,Villarreal CF,LaLiga2,Rubin Kazan,Russia,2012-2013,3750000.0,5000000
3133,Alexander Büttner,Left-Back,23,Vitesse,Eredivisie,Man Utd,England,2012-2013,3000000.0,5000000
3134,Leandro Castán,Centre-Back,25,Corinthians,Série A,AS Roma,Italy,2012-2013,2500000.0,5000000
3135,Daniel Carvajal,Right-Back,20,RM Castilla,LaLiga2,Bay. Leverkusen,Germany,2012-2013,,5000000
3136,Naldo,Centre-Back,29,Werder Bremen,1.Bundesliga,VfL Wolfsburg,Germany,2012-2013,6500000.0,4800000
3137,Dante,Centre-Back,28,Bor. M'gladbach,1.Bundesliga,Bayern Munich ,Germany,2012-2013,8000000.0,4700000
3138,Alfred N'Diaye,Defensive Midfield,22,Bursaspor,Süper Lig,Sunderland,England,2012-2013,3800000.0,4700000
3139,Junior Fernandes,Left Winger,24,U. de Chile,Primera División,Bay. Leverkusen,Germany,2012-2013,800000.0,4700000
3140,Salvatore Bocchetti,Centre-Back,26,Rubin Kazan,Premier Liga,Spartak Moscow,Russia,2012-2013,13000000.0,4500000
3141,Federico Balzaretti,Left-Back,30,US Palermo,Serie A,AS Roma,Italy,2012-2013,8500000.0,4500000
3142,Jonathan Biabiany,Right Winger,24,Sampdoria,Serie A,Parma,Italy,2012-2013,8000000.0,4500000
3143,Mehmet Topal,Defensive Midfield,26,Valencia CF,LaLiga,Fenerbahce,Turkey,2012-2013,8000000.0,4500000
